,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"0,00","4,95","0,00","2,47","4,13","6,61","0,82","0,00","1,65","4,95","52,06","0,00","0,82","0,82","0,00","0,82","4,13","5,78","0,00","0,00","0,00","8,26","0,00","0,00","1,65","0,00"
Banská Bystrica,,38 947,95,2 924,74,1 315,4 886,3 561,199,19,215,1 076,16 146,586,281,354,17,1 423,536,261,7,181,90,4 031,246,21,349,54
,,,"0,24","7,50","0,19","3,37","12,54","9,14","0,51","0,04","0,55","2,76","41,45","1,50","0,72","0,90","0,04","3,65","1,37","0,67","0,01","0,46","0,23","10,34","0,63","0,05","0,89","0,13"
Brusno,,1 198,4,148,0,53,125,42,1,0,3,60,621,9,6,7,1,13,19,14,0,1,1,51,4,1,13,1
,,,"0,33","12,35","0,00","4,42","10,43","3,50","0,08","0,00","0,25","5,00","51,83","0,75","0,50","0,58","0,08","1,08","1,58","1,16","0,00","0,08","0,08","4,25","0,33","0,08","1,08","0,08"
Čerín,,259,2,16,0,16,11,14,0,0,1,9,138,6,3,2,0,9,6,2,0,2,0,13,5,0,2,2
,,,"0,77","6,17","0,00","6,17","4,24","5,40","0,00","0,00","0,38","3,47","53,28","2,31","1,15","0,77","0,00","3,47","2,31","0,77","0,00","0,77","0,00","5,01","1,93","0,00","0,77","0,77"
Dolná Mičiná,,208,0,15,0,11,14,16,1,0,0,6,111,4,3,1,0,1,5,0,0,3,0,16,1,0,0,0
,,,"0,00","7,21","0,00","5,28","6,73","7,69","0,48","0,00","0,00","2,88","53,36","1,92","1,44","0,48","0,00","0,48","2,40","0,00","0,00","1,44","0,00","7,69","0,48","0,00","0,00","0,00"
Dolný Harmanec,,121,0,8,0,6,4,4,1,0,1,5,74,1,0,1,0,1,5,1,0,0,0,9,0,0,0,0
,,,"0,00","6,61","0,00","4,95","3,30","3,30","0,82","0,00","0,82","4,13","61,15","0,82","0,00","0,82","0,00","0,82","4,13","0,82","0,00","0,00","0,00","7,43","0,00","0,00","0,00","0,00"
Donovaly,,414,0,40,1,11,62,68,2,0,5,6,109,6,1,1,0,20,6,2,0,1,2,62,1,4,2,2
,,,"0,00","9,66","0,24","2,65","14,97","16,42","0,48","0,00","1,20","1,44","26,32","1,44","0,24","0,24","0,00","4,83","1,44","0,48","0,00","0,24","0,48","14,97","0,24","0,96","0,48","0,48"
Dúbravica,,185,2,10,0,10,11,2,0,0,3,4,121,1,2,4,0,1,4,1,0,1,0,6,0,0,1,1
,,,"1,08","5,40","0,00","5,40","5,94","1,08","0,00","0,00","1,62","2,16","65,40","0,54","1,08","2,16","0,00","0,54","2,16","0,54","0,00","0,54","0,00","3,24","0,00","0,00","0,54","0,54"
Harmanec,,395,2,7,0,11,32,11,1,0,1,9,250,6,9,6,0,6,15,3,0,3,1,17,2,0,3,0
,,,"0,50","1,77","0,00","2,78","8,10","2,78","0,25","0,00","0,25","2,27","63,29","1,51","2,27","1,51","0,00","1,51","3,79","0,75","0,00","0,75","0,25","4,30","0,50","0,00","0,75","0,00"
Hiadeľ,,255,0,15,0,14,12,5,0,0,0,7,171,2,0,2,0,1,8,4,0,1,0,9,2,0,1,1
,,,"0,00","5,88","0,00","5,49","4,70","1,96","0,00","0,00","0,00","2,74","67,05","0,78","0,00","0,78","0,00","0,39","3,13","1,56","0,00","0,39","0,00","3,52","0,78","0,00","0,39","0,39"
Horná Mičiná,,292,2,12,0,5,30,21,0,0,0,8,159,4,1,1,0,6,2,0,0,6,2,20,5,0,7,1
,,,"0,68","4,10","0,00","1,71","10,27","7,19","0,00","0,00","0,00","2,73","54,45","1,36","0,34","0,34","0,00","2,05","0,68","0,00","0,00","2,05","0,68","6,84","1,71","0,00","2,39","0,34"
Horné Pršany,,224,2,4,1,11,21,11,0,0,1,7,116,5,0,4,0,12,7,2,0,0,1,15,1,0,3,0
,,,"0,89","1,78","0,44","4,91","9,37","4,91","0,00","0,00","0,44","3,12","51,78","2,23","0,00","1,78","0,00","5,35","3,12","0,89","0,00","0,00","0,44","6,69","0,44","0,00","1,33","0,00"
Hrochoť,,600,0,18,0,37,61,43,4,0,1,8,368,7,1,8,0,9,4,9,0,1,0,14,2,0,5,0
,,,"0,00","3,00","0,00","6,16","10,16","7,16","0,66","0,00","0,16","1,33","61,33","1,16","0,16","1,33","0,00","1,50","0,66","1,50","0,00","0,16","0,00","2,33","0,33","0,00","0,83","0,00"
Hronsek,,368,0,17,0,16,38,24,2,0,2,16,175,7,2,17,0,12,3,1,0,0,2,33,0,0,1,0
,,,"0,00","4,61","0,00","4,34","10,32","6,52","0,54","0,00","0,54","4,34","47,55","1,90","0,54","4,61","0,00","3,26","0,81","0,27","0,00","0,00","0,54","8,96","0,00","0,00","0,27","0,00"
Kordíky,,226,1,28,0,7,26,24,3,0,0,4,70,4,1,1,0,19,2,2,0,0,2,30,0,1,1,0
,,,"0,44","12,38","0,00","3,09","11,50","10,61","1,32","0,00","0,00","1,76","30,97","1,76","0,44","0,44","0,00","8,40","0,88","0,88","0,00","0,00","0,88","13,27","0,00","0,44","0,44","0,00"
Králiky,,383,2,28,1,14,41,19,6,0,1,10,191,4,7,4,0,6,5,2,0,1,1,36,1,0,2,1
,,,"0,52","7,31","0,26","3,65","10,70","4,96","1,56","0,00","0,26","2,61","49,86","1,04","1,82","1,04","0,00","1,56","1,30","0,52","0,00","0,26","0,26","9,39","0,26","0,00","0,52","0,26"
Kynceľová,,212,0,12,0,8,13,25,4,0,0,6,104,3,1,2,0,8,4,2,0,0,1,18,0,0,1,0
,,,"0,00","5,66","0,00","3,77","6,13","11,79","1,88","0,00","0,00","2,83","49,05","1,41","0,47","0,94","0,00","3,77","1,88","0,94","0,00","0,00","0,47","8,49","0,00","0,00","0,47","0,00"
Lučatín,,327,1,33,0,12,33,24,3,0,4,18,132,6,1,2,0,7,3,4,0,1,1,27,14,0,1,0
,,,"0,30","10,09","0,00","3,66","10,09","7,33","0,91","0,00","1,22","5,50","40,36","1,83","0,30","0,61","0,00","2,14","0,91","1,22","0,00","0,30","0,30","8,25","4,28","0,00","0,30","0,00"
Ľubietová,,536,2,40,0,17,86,34,2,0,1,38,218,5,8,10,0,6,13,11,1,8,1,32,0,0,3,0
,,,"0,37","7,46","0,00","3,17","16,04","6,34","0,37","0,00","0,18","7,08","40,67","0,93","1,49","1,86","0,00","1,11","2,42","2,05","0,18","1,49","0,18","5,97","0,00","0,00","0,55","0,00"
Malachov,,584,0,26,0,20,70,28,1,2,0,16,292,10,9,12,0,6,12,1,0,2,1,64,3,0,8,1
,,,"0,00","4,45","0,00","3,42","11,98","4,79","0,17","0,34","0,00","2,73","50,00","1,71","1,54","2,05","0,00","1,02","2,05","0,17","0,00","0,34","0,17","10,95","0,51","0,00","1,36","0,17"
Medzibrod,,748,1,74,0,93,79,27,4,0,5,37,328,4,1,2,0,17,13,7,1,5,3,34,4,0,8,1
,,,"0,13","9,89","0,00","12,43","10,56","3,60","0,53","0,00","0,66","4,94","43,85","0,53","0,13","0,26","0,00","2,27","1,73","0,93","0,13","0,66","0,40","4,54","0,53","0,00","1,06","0,13"
Moštenica,,117,1,10,0,11,5,0,0,0,2,3,65,2,0,6,0,2,3,1,0,0,0,5,1,0,0,0
,,,"0,85","8,54","0,00","9,40","4,27","0,00","0,00","0,00","1,70","2,56","55,55","1,70","0,00","5,12","0,00","1,70","2,56","0,85","0,00","0,00","0,00","4,27","0,85","0,00","0,00","0,00"
Motyčky,,83,0,9,0,7,3,4,0,0,1,0,46,0,0,2,0,1,1,0,0,0,1,7,1,0,0,0
,,,"0,00","10,84","0,00","8,43","3,61","4,81","0,00","0,00","1,20","0,00","55,42","0,00","0,00","2,40","0,00","1,20","1,20","0,00","0,00","0,00","1,20","8,43","1,20","0,00","0,00","0,00"
Môlča,,134,3,1,0,5,10,8,1,0,0,8,75,3,0,0,2,2,1,0,0,1,0,12,0,0,2,0
,,,"2,23","0,74","0,00","3,73","7,46","5,97","0,74","0,00","0,00","5,97","55,97","2,23","0,00","0,00","1,49","1,49","0,74","0,00","0,00","0,74","0,00","8,95","0,00","0,00","1,49","0,00"
Nemce,,608,2,41,0,26,67,39,2,0,7,14,295,9,1,7,0,10,18,5,1,1,2,54,3,1,3,0
,,,"0,32","6,74","0,00","4,27","11,01","6,41","0,32","0,00","1,15","2,30","48,51","1,48","0,16","1,15","0,00","1,64","2,96","0,82","0,16","0,16","0,32","8,88","0,49","0,16","0,49","0,00"
Oravce,,98,0,3,0,6,1,7,0,0,1,2,71,0,0,1,0,1,1,0,0,2,0,2,0,0,0,0
,,,"0,00","3,06","0,00","6,12","1,02","7,14","0,00","0,00","1,02","2,04","72,44","0,00","0,00","1,02","0,00","1,02","1,02","0,00","0,00","2,04","0,00","2,04","0,00","0,00","0,00","0,00"
Podkonice,,506,1,99,0,40,47,22,5,0,5,15,190,7,0,4,0,9,9,2,0,3,10,32,2,0,1,3
,,,"0,19","19,56","0,00","7,90","9,28","4,34","0,98","0,00","0,98","2,96","37,54","1,38","0,00","0,79","0,00","1,77","1,77","0,39","0,00","0,59","1,97","6,32","0,39","0,00","0,19","0,59"
Pohronský Bukovec,,57,0,3,0,5,2,1,0,0,0,2,36,0,0,0,0,1,1,4,0,0,0,1,0,0,1,0
,,,"0,00","5,26","0,00","8,77","3,50","1,75","0,00","0,00","0,00","3,50","63,15","0,00","0,00","0,00","0,00","1,75","1,75","7,01","0,00","0,00","0,00","1,75","0,00","0,00","1,75","0,00"
Poniky,,752,1,40,1,60,57,54,6,0,1,19,353,16,6,31,0,20,18,7,0,6,8,33,12,0,1,2
,,,"0,13","5,31","0,13","7,97","7,57","7,18","0,79","0,00","0,13","2,52","46,94","2,12","0,79","4,12","0,00","2,65","2,39","0,93","0,00","0,79","1,06","4,38","1,59","0,00","0,13","0,26"
Povrazník,,94,1,0,1,1,4,4,1,0,0,4,64,2,0,0,0,1,2,1,0,0,0,8,0,0,0,0
,,,"1,06","0,00","1,06","1,06","4,25","4,25","1,06","0,00","0,00","4,25","68,08","2,12","0,00","0,00","0,00","1,06","2,12","1,06","0,00","0,00","0,00","8,51","0,00","0,00","0,00","0,00"
Priechod,,424,0,100,0,15,53,20,3,0,1,27,135,3,0,6,0,7,7,2,0,3,1,35,2,1,3,0
,,,"0,00","23,58","0,00","3,53","12,50","4,71","0,70","0,00","0,23","6,36","31,83","0,70","0,00","1,41","0,00","1,65","1,65","0,47","0,00","0,70","0,23","8,25","0,47","0,23","0,70","0,00"
Riečka,489163,415,2,76,1,25,24,26,1,1,2,12,178,8,1,7,0,3,5,11,0,1,1,22,2,0,5,1
,,,"0,48","18,31","0,24","6,02","5,78","6,26","0,24","0,24","0,48","2,89","42,89","1,92","0,24","1,68","0,00","0,72","1,20","2,65","0,00","0,24","0,24","5,30","0,48","0,00","1,20","0,24"
Sebedín - Bečov,,210,2,10,0,14,18,14,2,0,0,3,112,1,0,3,0,2,10,1,0,0,2,11,3,0,2,0
,,,"0,95","4,76","0,00","6,66","8,57","6,66","0,95","0,00","0,00","1,42","53,33","0,47","0,00","1,42","0,00","0,95","4,76","0,47","0,00","0,00","0,95","5,23","1,42","0,00","0,95","0,00"
Selce,489165,1 090,0,149,1,35,159,49,8,0,4,34,398,15,6,7,0,18,25,16,0,3,5,133,7,0,15,3
,,,"0,00","13,66","0,09","3,21","14,58","4,49","0,73","0,00","0,36","3,11","36,51","1,37","0,55","0,64","0,00","1,65","2,29","1,46","0,00","0,27","0,45","12,20","0,64","0,00","1,37","0,27"
Slovenská Ľupča,,1 579,5,146,3,92,162,116,7,1,3,81,703,20,12,11,2,26,29,21,0,3,3,104,9,0,14,6
,,,"0,31","9,24","0,18","5,82","10,25","7,34","0,44","0,06","0,18","5,12","44,52","1,26","0,75","0,69","0,12","1,64","1,83","1,32","0,00","0,18","0,18","6,58","0,56","0,00","0,88","0,37"
Staré Hory,,297,0,28,0,17,38,20,1,0,2,8,124,1,1,3,0,12,8,2,0,4,0,22,0,0,6,0
,,,"0,00","9,42","0,00","5,72","12,79","6,73","0,33","0,00","0,67","2,69","41,75","0,33","0,33","1,01","0,00","4,04","2,69","0,67","0,00","1,34","0,00","7,40","0,00","0,00","2,02","0,00"
Strelníky,,426,1,3,0,25,41,32,4,0,0,30,235,4,5,2,0,6,11,7,0,5,0,11,1,0,3,0
,,,"0,23","0,70","0,00","5,86","9,62","7,51","0,93","0,00","0,00","7,04","55,16","0,93","1,17","0,46","0,00","1,40","2,58","1,64","0,00","1,17","0,00","2,58","0,23","0,00","0,70","0,00"
Špania Dolina,,143,1,28,0,3,31,4,1,0,0,5,45,3,0,1,0,4,3,1,0,1,1,10,1,0,0,0
,,,"0,69","19,58","0,00","2,09","21,67","2,79","0,69","0,00","0,00","3,49","31,46","2,09","0,00","0,69","0,00","2,79","2,09","0,69","0,00","0,69","0,69","6,99","0,69","0,00","0,00","0,00"
Tajov,,339,2,49,0,23,37,18,2,0,2,8,132,3,1,1,0,10,6,2,3,2,2,28,2,0,5,1
,,,"0,58","14,45","0,00","6,78","10,91","5,30","0,58","0,00","0,58","2,35","38,93","0,88","0,29","0,29","0,00","2,94","1,76","0,58","0,88","0,58","0,58","8,25","0,58","0,00","1,47","0,29"
Turecká,,96,1,13,0,8,12,9,0,0,0,2,32,3,0,0,0,3,2,0,0,0,0,10,0,0,1,0
,,,"1,04","13,54","0,00","8,33","12,50","9,37","0,00","0,00","0,00","2,08","33,33","3,12","0,00","0,00","0,00","3,12","2,08","0,00","0,00","0,00","0,00","10,41","0,00","0,00","1,04","0,00"
Vlkanová,,542,1,40,0,26,57,28,2,0,3,12,266,5,8,10,0,12,19,2,0,1,0,40,3,0,7,0
,,,"0,18","7,38","0,00","4,79","10,51","5,16","0,36","0,00","0,55","2,21","49,07","0,92","1,47","1,84","0,00","2,21","3,50","0,36","0,00","0,18","0,00","7,38","0,55","0,00","1,29","0,00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Banská Bystrica,,55 564,140,4 395,86,2 169,6 640,4 565,289,23,285,1 664,23 908,798,386,553,23,1 759,879,423,13,256,145,5 216,348,31,486,84
,,,"0,25","7,90","0,15","3,90","11,95","8,21","0,52","0,04","0,51","2,99","43,02","1,43","0,69","0,99","0,04","3,16","1,58","0,76","0,02","0,46","0,26","9,38","0,62","0,05","0,87","0,15"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacúch,,489,0,28,0,30,21,9,1,0,0,22,333,2,1,8,0,2,16,4,0,1,1,7,1,0,2,0
,,,"0,00","5,72","0,00","6,13","4,29","1,84","0,20","0,00","0,00","4,49","68,09","0,40","0,20","1,63","0,00","0,40","3,27","0,81","0,00","0,20","0,20","1,43","0,20","0,00","0,40","0,00"
Beňuš,,553,0,50,1,19,86,37,2,1,3,47,260,2,2,1,0,2,11,3,0,1,5,17,1,0,0,2
,,,"0,00","9,04","0,18","3,43","15,55","6,69","0,36","0,18","0,54","8,49","47,01","0,36","0,36","0,18","0,00","0,36","1,98","0,54","0,00","0,18","0,90","3,07","0,18","0,00","0,00","0,36"
Braväcovo,,321,1,9,1,8,25,19,0,1,0,10,196,8,0,6,1,1,9,3,0,0,0,18,3,0,2,0
,,,"0,31","2,80","0,31","2,49","7,78","5,91","0,00","0,31","0,00","3,11","61,05","2,49","0,00","1,86","0,31","0,31","2,80","0,93","0,00","0,00","0,00","5,60","0,93","0,00","0,62","0,00"
Brezno,,9 285,23,622,24,527,1 018,587,27,5,23,448,4 438,137,80,103,4,140,196,53,1,30,13,637,28,5,94,22
,,,"0,24","6,69","0,25","5,67","10,96","6,32","0,29","0,05","0,24","4,82","47,79","1,47","0,86","1,10","0,04","1,50","2,11","0,57","0,01","0,32","0,14","6,86","0,30","0,05","1,01","0,23"
Bystrá,,337,1,38,0,13,46,62,3,1,1,6,75,6,2,1,0,11,4,1,0,1,1,64,0,0,0,0
,,,"0,29","11,27","0,00","3,85","13,64","18,39","0,89","0,29","0,29","1,78","22,25","1,78","0,59","0,29","0,00","3,26","1,18","0,29","0,00","0,29","0,29","18,99","0,00","0,00","0,00","0,00"
Čierny Balog,,2 342,9,143,12,108,237,66,16,2,3,201,1 259,22,17,21,1,27,53,17,0,4,5,78,10,0,17,14
,,,"0,38","6,10","0,51","4,61","10,11","2,81","0,68","0,08","0,12","8,58","53,75","0,93","0,72","0,89","0,04","1,15","2,26","0,72","0,00","0,17","0,21","3,33","0,42","0,00","0,72","0,59"
Dolná Lehota,,379,1,40,0,20,26,11,4,0,0,10,222,3,3,2,0,7,4,0,0,1,1,20,1,2,1,0
,,,"0,26","10,55","0,00","5,27","6,86","2,90","1,05","0,00","0,00","2,63","58,57","0,79","0,79","0,52","0,00","1,84","1,05","0,00","0,00","0,26","0,26","5,27","0,26","0,52","0,26","0,00"
Drábsko,,102,2,11,0,9,1,6,0,0,0,5,57,1,0,2,0,1,1,0,0,0,0,5,0,0,1,0
,,,"1,96","10,78","0,00","8,82","0,98","5,88","0,00","0,00","0,00","4,90","55,88","0,98","0,00","1,96","0,00","0,98","0,98","0,00","0,00","0,00","0,00","4,90","0,00","0,00","0,98","0,00"
Heľpa,,1 491,3,160,3,65,82,27,6,1,0,106,916,10,12,8,1,6,24,14,0,6,0,31,1,0,4,5
,,,"0,20","10,73","0,20","4,35","5,49","1,81","0,40","0,06","0,00","7,10","61,43","0,67","0,80","0,53","0,06","0,40","1,60","0,93","0,00","0,40","0,00","2,07","0,06","0,00","0,26","0,33"
Horná Lehota,,297,1,20,0,22,16,15,0,0,0,10,165,2,0,5,0,5,19,2,0,1,0,11,1,0,2,0
,,,"0,33","6,73","0,00","7,40","5,38","5,05","0,00","0,00","0,00","3,36","55,55","0,67","0,00","1,68","0,00","1,68","6,39","0,67","0,00","0,33","0,00","3,70","0,33","0,00","0,67","0,00"
Hronec,,560,2,25,1,18,53,25,2,0,1,29,319,6,0,7,0,11,7,7,0,1,1,39,0,0,6,0
,,,"0,35","4,46","0,17","3,21","9,46","4,46","0,35","0,00","0,17","5,17","56,96","1,07","0,00","1,25","0,00","1,96","1,25","1,25","0,00","0,17","0,17","6,96","0,00","0,00","1,07","0,00"
Jarabá,,32,0,4,1,6,0,1,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
,,,"0,00","12,50","3,12","18,75","0,00","3,12","0,00","0,00","0,00","0,00","53,12","0,00","0,00","3,12","0,00","0,00","0,00","0,00","0,00","0,00","0,00","6,25","0,00","0,00","0,00","0,00"
Jasenie,,564,1,45,2,26,36,29,3,0,1,17,354,3,1,5,0,2,7,6,0,3,2,12,0,0,5,4
,,,"0,17","7,97","0,35","4,60","6,38","5,14","0,53","0,00","0,17","3,01","62,76","0,53","0,17","0,88","0,00","0,35","1,24","1,06","0,00","0,53","0,35","2,12","0,00","0,00","0,88","0,70"
Lom nad Rimavicou,,176,1,17,1,31,5,1,0,0,1,5,103,0,0,1,0,1,2,2,0,1,2,2,0,0,0,0
,,,"0,56","9,65","0,56","17,61","2,84","0,56","0,00","0,00","0,56","2,84","58,52","0,00","0,00","0,56","0,00","0,56","1,13","1,13","0,00","0,56","1,13","1,13","0,00","0,00","0,00","0,00"
Michalová,,630,5,68,2,46,46,21,2,1,0,42,344,1,7,5,0,6,5,3,0,7,0,11,0,0,6,2
,,,"0,79","10,79","0,31","7,30","7,30","3,33","0,31","0,15","0,00","6,66","54,60","0,15","1,11","0,79","0,00","0,95","0,79","0,47","0,00","1,11","0,00","1,74","0,00","0,00","0,95","0,31"
Mýto pod Ďumbierom,,371,0,48,0,13,46,43,4,0,0,10,137,8,2,0,0,16,0,1,0,0,0,38,0,1,3,1
,,,"0,00","12,93","0,00","3,50","12,39","11,59","1,07","0,00","0,00","2,69","36,92","2,15","0,53","0,00","0,00","4,31","0,00","0,26","0,00","0,00","0,00","10,24","0,00","0,26","0,80","0,26"
Nemecká,,827,3,38,0,42,83,24,3,0,3,36,483,13,5,5,0,8,21,6,0,6,1,34,3,0,9,1
,,,"0,36","4,59","0,00","5,07","10,03","2,90","0,36","0,00","0,36","4,35","58,40","1,57","0,60","0,60","0,00","0,96","2,53","0,72","0,00","0,72","0,12","4,11","0,36","0,00","1,08","0,12"
Osrblie,,228,0,10,0,13,10,6,1,0,0,4,144,4,0,2,0,4,3,5,0,5,2,6,6,1,1,1
,,,"0,00","4,38","0,00","5,70","4,38","2,63","0,43","0,00","0,00","1,75","63,15","1,75","0,00","0,87","0,00","1,75","1,31","2,19","0,00","2,19","0,87","2,63","2,63","0,43","0,43","0,43"
Podbrezová,,1 846,4,83,5,86,176,54,12,1,10,100,1 021,33,24,18,3,21,54,15,1,4,3,96,4,0,16,2
,,,"0,21","4,49","0,27","4,65","9,53","2,92","0,65","0,05","0,54","5,41","55,30","1,78","1,30","0,97","0,16","1,13","2,92","0,81","0,05","0,21","0,16","5,20","0,21","0,00","0,86","0,10"
Pohorelá,,1 139,2,51,11,85,65,27,3,0,0,43,740,9,6,30,1,3,14,1,1,0,3,35,0,0,8,1
,,,"0,17","4,47","0,96","7,46","5,70","2,37","0,26","0,00","0,00","3,77","64,96","0,79","0,52","2,63","0,08","0,26","1,22","0,08","0,08","0,00","0,26","3,07","0,00","0,00","0,70","0,08"
Pohronská Polhora,,751,3,54,2,71,57,26,2,0,4,52,416,3,5,4,1,1,14,5,0,3,3,15,3,0,7,0
,,,"0,39","7,19","0,26","9,45","7,58","3,46","0,26","0,00","0,53","6,92","55,39","0,39","0,66","0,53","0,13","0,13","1,86","0,66","0,00","0,39","0,39","1,99","0,39","0,00","0,93","0,00"
Polomka,,1 309,2,80,16,52,101,28,2,0,5,127,758,4,8,22,0,8,16,11,0,1,2,57,3,0,5,1
,,,"0,15","6,11","1,22","3,97","7,71","2,13","0,15","0,00","0,38","9,70","57,90","0,30","0,61","1,68","0,00","0,61","1,22","0,84","0,00","0,07","0,15","4,35","0,22","0,00","0,38","0,07"
Predajná,,600,2,37,3,24,57,35,4,1,0,28,319,10,7,5,0,4,24,3,0,7,3,14,5,0,5,3
,,,"0,33","6,16","0,50","4,00","9,50","5,83","0,66","0,16","0,00","4,66","53,16","1,66","1,16","0,83","0,00","0,66","4,00","0,50","0,00","1,16","0,50","2,33","0,83","0,00","0,83","0,50"
Ráztoka,,182,1,6,0,2,12,4,0,0,0,3,123,1,0,2,0,0,10,1,0,0,1,8,8,0,0,0
,,,"0,54","3,29","0,00","1,09","6,59","2,19","0,00","0,00","0,00","1,64","67,58","0,54","0,00","1,09","0,00","0,00","5,49","0,54","0,00","0,00","0,54","4,39","4,39","0,00","0,00","0,00"
Sihla,,115,2,6,1,7,12,6,0,0,0,3,67,2,0,1,0,0,0,5,0,0,0,1,0,0,1,1
,,,"1,73","5,21","0,86","6,08","10,43","5,21","0,00","0,00","0,00","2,60","58,26","1,73","0,00","0,86","0,00","0,00","0,00","4,34","0,00","0,00","0,00","0,86","0,00","0,00","0,86","0,86"
Šumiac,,583,0,17,2,40,17,13,1,1,0,49,380,2,7,6,5,5,2,8,0,0,1,19,2,0,3,3
,,,"0,00","2,91","0,34","6,86","2,91","2,22","0,17","0,17","0,00","8,40","65,18","0,34","1,20","1,02","0,85","0,85","0,34","1,37","0,00","0,00","0,17","3,25","0,34","0,00","0,51","0,51"
Telgárt,,497,3,49,2,36,26,17,2,1,0,24,248,2,2,8,30,4,10,5,0,0,0,20,0,1,5,2
,,,"0,60","9,85","0,40","7,24","5,23","3,42","0,40","0,20","0,00","4,82","49,89","0,40","0,40","1,60","6,03","0,80","2,01","1,00","0,00","0,00","0,00","4,02","0,00","0,20","1,00","0,40"
Valaská,,1 763,5,102,5,87,108,86,9,5,6,136,939,14,14,30,0,31,49,24,0,4,1,88,10,0,6,4
,,,"0,28","5,78","0,28","4,93","6,12","4,87","0,51","0,28","0,34","7,71","53,26","0,79","0,79","1,70","0,00","1,75","2,77","1,36","0,00","0,22","0,05","4,99","0,56","0,00","0,34","0,22"
Vaľkovňa,,123,0,3,0,11,6,1,0,0,0,8,89,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0
,,,"0,00","2,43","0,00","8,94","4,87","0,81","0,00","0,00","0,00","6,50","72,35","0,00","0,00","0,00","0,81","0,00","0,00","1,62","0,00","0,00","0,00","0,81","0,00","0,00","0,81","0,00"
Závadka nad Hronom,,1 024,2,70,1,38,51,39,7,0,2,82,554,13,28,55,0,7,27,3,0,2,0,34,2,0,2,5
,,,"0,19","6,83","0,09","3,71","4,98","3,80","0,68","0,00","0,19","8,00","54,10","1,26","2,73","5,37","0,00","0,68","2,63","0,29","0,00","0,19","0,00","3,32","0,19","0,00","0,19","0,48"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obvod Brezno,,28 916,79,1 934,96,1 555,2 525,1 325,116,21,63,1 663,15 476,321,233,364,48,334,602,210,3,89,51,1 420,92,10,212,74
,,,"0,27","6,68","0,33","5,37","8,73","4,58","0,40","0,07","0,21","5,75","53,52","1,11","0,80","1,25","0,16","1,15","2,08","0,72","0,01","0,30","0,17","4,91","0,31","0,03","0,73","0,25"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Počet
platných
hlasov
spolu",Platné hlasy (počet / podiel),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zelení,KDH,SDĽ,SNS,OĽaNO,SaS,PaS,NÁŠ KRAJ,SZ,ĽSNS,SMER - SD,"Zmena zdola, DÚ",NaS - ns,KSS,SRÚS,MOST - HÍD,99%,ĽS - HZDS,+1 HLAS,SF,Obyčajní ľudia,SDKÚ - DS,SOSKA,SMK - MKP,SSS - NM,SŽS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ábelová,,92,3,4,1,4,1,2,1,0,0,0,55,2,0,1,0,12,2,3,0,0,0,0,0,0,1,0
,,,"3,26","4,34","1,08","4,34","1,08","2,17","1,08","0,00","0,00","0,00","59,78","2,17","0,00","1,08","0,00","13,04","2,17","3,26","0,00","0,00","0,00","0,00","0,00","0,00","1,08","0,00"
Belina,,236,0,0,2,0,0,1,0,0,0,0,10,0,0,2,1,47,6,0,0,1,1,4,0,160,1,0
,,,"0,00","0,00","0,84","0,00","0,00","0,42","0,00","0,00","0,00","0,00","4,23","0,00","0,00","0,84","0,42","19,91","2,54","0,00","0,00","0,42","0,42","1,69","0,00","67,79","0,42","0,00"
